adj-eng,adj-fre,adj-ger,adj-ita,adj-ned,adj-rus,adj-vie,adj-zho,noun-eng,noun-fre,noun-ger,noun-ita,noun-ned,noun-rus,noun-vie,noun-zho,phrase_prefix-eng,phrase_prefix-fre,phrase_prefix-ger,phrase_prefix-ita,phrase_prefix-ned,phrase_prefix-rus,phrase_prefix-vie,phrase_prefix-zho,phrase-eng,phrase-fre,phrase-ger,phrase-ita,phrase-ned,phrase-rus,phrase-vie,phrase-zho,phrase_head_final-eng,phrase_head_final-fre,phrase_head_final-ger,phrase_head_final-ita
deep,profonde,tiefe,profonda,diepe,глубокий,sâu,深植,root,racine,Wurzel,radice,wortel,корень,rễ,根,I saw the,J'ai vu la,Ich sah die,Ho visto la,Ik zag de,Я увидел,Tôi đã thấy,我看見了,deep root,racine profonde,tiefe Wurzel,radice profonda,diepe wortel,глубокий корень,rễ sâu,深植根,,,nan Wurzel,
white,blanche,weißes,bianca,wit,белый,trắng,白,sail,voile,Segel,vela,zeil,парус,cánh buồm,帆,I saw the,J'ai vu la,Ich sah das,Ho visto la,Ik zag het,Я увидел,Tôi đã thấy,我看見了,white sail,voile blanche,weißes Segel,vela bianca,wit zeil,белый парус,cánh buồm trắng,白帆,,,nan Segel,
important,école,große,importante,grote,большая,quan trọng,重要,school,grande,Schule,scuola,school,школа,trường học,學校,I saw the,J'ai vu l',Ich sah die,Ho visto la,Ik zag de,Я увидел,Tôi đã thấy,我看見了,important school,école importante,große Schule,scuola importante,belangrijke school,большая школа,trường học quan trọng,重要學校,big school,grande grande,große Schule,grande scuola
sharp,acérés,scharfe,affilate,scherpe,острые,sắc,鋒利的,scissors,ciseaux,Schere,forbici,schaar,ножницы,kéo,剪刀,I saw the,J'ai vu les,Ich sah die,Ho visto i,Ik zag de,Я увидел,Tôi đã thấy cái,我看見了,sharp scissors,ciseaux acérés,scharfe Schere,forbici affilate,scherpe schaar,острые ножницы,kéo sắc,鋒利的剪刀,new scissors,nouveaux ciseaux,neue Schere,nuove forbici
loose,desserrée,lose,allentata,losse,ослабленный,lỏng,松动的,screw,vis,Schraube,vite,schroef,винт,ốc vít,螺丝,I saw the,J'ai vu la,Ich sah die,Ho visto la,Ik zag de,Я увидел,Tôi đã thấy cái,我看見了,loose screw,vis desserrée,lose Schraube,vite allentata,losse schroef,ослабленный винт,ốc vít lỏng,松动的螺丝,,,,
green,verte,grüner,verde,groen,зеленое,xanh,绿色的,seed,graine,Samen,seme,zaadje,семя,hạt giống,种子,I saw the,J'ai vu la,Ich sah den,Ho visto il,Ik zag het,Я увидел,Tôi đã thấy,我看見了,green seed,graine verte,grüner Samen,seme verde,groen zaadje,зеленое семя,hạt giống xanh,绿色的种子,,,,
white,blanc,weißes,bianca,wit,белая,trắng,白色的,sheep,mouton,Schaf,pecora,schaap,овца,cừu,绵羊,I saw the,J'ai vu le,Ich sah das,Ho visto la,Ik zag het,Я увидел,Tôi đã thấy con,我看見了,white sheep,mouton blanc,weißes Schaf,pecora bianca,wit schaap,белая овца,cừu trắng,白色的绵羊,,,,
high,haute,hohes,alto,hoge,высокая,cao,高高的,shelf,étagère,Regal,ripiano,plank,полка,kệ,架子,I saw the,J'ai vu l',Ich sah das,Ho visto il,Ik zag de,Я увидел,Tôi đã thấy cái,我看見了,high shelf,étagère haute,hohes Regal,ripiano alto,hoge plank,высокая полка,kệ cao,高高的架子,,,,
wooden,en bois,hölzernes,di,houten,деревянный,gỗ,木头做的,ship,bateau,Schiff,nave,schip,корабль,tàu,船,I saw the,J'ai vu le,Ich sah das,Ho visto la,Ik zag het,Я увидел,Tôi đã thấy con,我看見了,wooden ship,bateau en bois,hölzernes Schiff,nave di legno,houten schip,деревянный корабль,tàu gỗ,木头做的船,,,,
clean,propre,sauberes,pulita,schoon,чистая,sạch,干净的,shirt,chemise,Hemd,camicia,shirt,рубашка,áo sơ mi,衬衫,I saw the,J'ai vu la,Ich sah das,Ho visto la,Ik zag het,Я увидел,Tôi đã thấy cái,我看見了,clean shirt,chemise propre,sauberes Hemd,camicia pulita,schoon shirt,чистая рубашка,áo sơ mi sạch,干净的衬衫,,,,
worn,usée,abgetragener,consumata,versleten,изношенная,cũ,穿旧的,shoe,chaussure,Schuh,scarpa,schoen,обувь,giày,鞋子,I saw the,J'ai vu la,Ich sah den,Ho visto la,Ik zag de,Я увидел,Tôi đã thấy đôi,我看見了,worn shoe,chaussure usée,abgetragener Schuh,scarpa consumata,versleten schoen,изношенная обувь,giày cũ,穿旧的鞋子,,,,
smooth,lisse,glatte,liscia,gladde,гладкая,mịn,光滑的,skin,peau,Haut,pelle,huid,кожа,da,皮肤,I saw the,J'ai vu la,Ich sah die,Ho visto la,Ik zag de,Я увидел,Tôi đã thấy làn,我看見了,smooth skin,peau lisse,glatte Haut,pelle liscia,gladde huid,гладкая кожа,da mịn,光滑的皮肤,,,,
short,courte,kurzer,corta,korte,короткая,ngắn,短,skirt,jupe,Rock,gonna,rok,юбка,váy,裙,I saw the,J'ai vu la,Ich sah den,Ho visto la,Ik zag de,Я увидел,Tôi đã thấy chiếc,我看見了,short skirt,jupe courte,kurzer Rock,gonna corta,korte rok,короткая юбка,váy ngắn,短裙,,,,
poisonous,venimeux,giftige,velenoso,giftige,ядовитая,độc,毒,snake,serpent,Schlange,serpente,slang,змея,rắn,蛇,I saw the,J'ai vu le,Ich sah die,Ho visto il,Ik zag de,Я увидел,Tôi đã thấy con,我看見了,poisonous snake,serpent venimeux,giftige Schlange,serpente velenoso,giftige slang,ядовитая змея,rắn độc,毒蛇,,,,
dirty,sale,schmutzige,sporco,vuile,грязный,bẩn,髒,sock,chaussette,Socke,calzino,sok,носок,vớ,襪子,I saw the,J'ai vu la,Ich sah die,Ho visto il,Ik zag de,Я увидел,Tôi đã thấy đôi,我看見了,dirty sock,chaussette sale,schmutzige Socke,calzino sporco,vuile sok,грязный носок,vớ bẩn,髒襪子,new sock,nouvelle chaussette,neue Socke,nuovo calzino
metal,en métal,metallene,di,metalen,металлическая,kim loại,金属,spade,bêche,Schaufel,vanga,spade,лопата,xẻng,铲,I saw the,J'ai vu la,Ich sah die,Ho visto la,Ik zag de,Я увидел,Tôi đã thấy cái,我看見了,metal spade,bêche en métal,metallene Schaufel,vanga di metallo,metalen spade,металлическая лопата,xẻng kim loại,金属铲,,,nan Schaufel,
wet,humide,feuchter,bagnata,natte,мокрая,ướt,湿,sponge,éponge,Schwamm,spugna,spons,губка,bọt biển,海绵,I saw the,J'ai vu l',Ich sah den,Ho visto la,Ik zag de,Я увидел,Tôi đã thấy miếng,我看見了,wet sponge,éponge humide,feuchter Schwamm,spugna bagnata,natte spons,мокрая губка,bọt biển ướt,湿海绵,,,nan Schwamm,
silver,en argent,silberner,d,zilveren,серебряная,bạc,银,spoon,cuillère,Löffel,cucchiaio,lepel,ложка,thìa,勺,I saw the,J'ai vu la,Ich sah den,Ho visto il,Ik zag de,Я увидел,Tôi đã thấy cái,我看見了,silver spoon,cuillère en argent,silberner Löffel,cucchiaio d'argento,zilveren lepel,серебряная ложка,thìa bạc,银勺,,,nan Löffel,
warm,chaud,warme,calda,warme,теплый,ấm áp,暖,spring,printemps,Quelle,primavera,bron,источник,mùa xuân,春,I saw the,J'ai vu le,Ich sah die,Ho visto la,Ik zag de,Я увидел,Tôi đã thấy,我看見了,warm spring,printemps chaud,warme Quelle,primavera calda,warme bron,теплый источник,mùa xuân ấm áp,暖春,new spring,vieux printemps,neue Quelle,nuova primavera
central,centrale,zentraler,centrale,centraal,центральная,trung tâm,中央,square,place,Platz,piazza,plein,площадь,quảng trường,廣場,I saw the,J'ai vu la,Ich sah den,Ho visto la,Ik zag het,Я увидел,Tôi đã thấy,我看見了,central square,place centrale,zentraler Platz,piazza centrale,centraal plein,центральная площадь,quảng trường trung tâm,中央廣場,good square,bonne place,guter Platz,buona piazza
used,utilisé,gebrauchte,usato,gebruikte,использованная,đã sử dụng,用过的,stamp,timbre,Briefmarke,francobollo,postzegel,марка,tem,邮票,I saw the,J'ai vu le,Ich sah die,Ho visto il,Ik zag de,Я увидел,Tôi đã thấy con,我看見了,used stamp,timbre utilisé,gebrauchte Briefmarke,francobollo usato,gebruikte postzegel,использованная марка,tem đã sử dụng,用过的邮票,,,,
bright,brillante,heller,luminosa,heldere,яркая,sáng,明亮的,star,étoile,Stern,stella,ster,звезда,ngôi sao,星,I saw the,J'ai vu l',Ich sah den,Ho visto la,Ik zag de,Я увидел,Tôi đã thấy,我看見了,bright star,étoile brillante,heller Stern,stella luminosa,heldere ster,яркая звезда,ngôi sao sáng,明亮的星,,,,
busy,occupée,belebter,affollata,druk,оживленная,nhộn nhịp,繁忙的,station,gare,Bahnhof,stazione,station,станция,ga xe buýt,车站,I saw the,J'ai vu la,Ich sah den,Ho visto la,Ik zag het,Я увидел,Tôi đã thấy,我看見了,busy station,gare occupée,belebter Bahnhof,stazione affollata,druk station,оживленная станция,ga xe buýt nhộn nhịp,繁忙的车站,,,,
green,verte,grüner,verde,groene,зеленый,xanh,绿色的,stem,tige,Stiel,gambo,stengel,стебель,cành,茎,I saw the,J'ai vu la,Ich sah den,Ho visto il,Ik zag de,Я увидел,Tôi đã thấy,我看見了,green stem,tige verte,grüner Stiel,gambo verde,groene stengel,зеленый стебель,cành xanh,绿色的茎,,,,
dry,sec,trockener,secco,droge,сухая,khô,乾枯的,stick,bâton,Stock,bastone,stok,палка,cây,樹枝,I saw the,J'ai vu le,Ich sah den,Ho visto il,Ik zag de,Я увидел,Tôi đã thấy,我看見了,dry stick,bâton sec,trockener Stock,bastone secco,droge stok,сухая палка,cây khô,乾枯的樹枝,old stick,vieille bâton,alter Stock,vecchio bastone
black,noir,schwarzer,nera,zwarte,черный,đen,黑,stocking,bas,Strumpf,calza,kous,чулок,vớ,丝袜,I saw the,J'ai vu le,Ich sah den,Ho visto la,Ik zag de,Я увидел,Tôi đã thấy đôi,我看見了,black stocking,bas noir,schwarzer Strumpf,calza nera,zwarte kous,черный чулок,vớ đen,黑丝袜,,,,
local,local,lokaler,locale,plaatselijke,местный,địa phương,本地,store,magasin,Laden,negozio,winkel,магазин,cửa hàng,商店,I saw the,J'ai vu le,Ich sah den,Ho visto il,Ik zag de,Я увидел,Tôi đã thấy,我看見了,local store,magasin local,lokaler Laden,negozio locale,plaatselijke winkel,местный магазин,cửa hàng địa phương,本地商店,big store,grand magasin,großer Laden,grande negozio
quiet,tranquille,ruhige,tranquilla,rustige,тихая,yên tĩnh,寧靜的,street,rue,Straße,strada,straat,улица,đường,街道,I saw the,J'ai vu la,Ich sah die,Ho visto la,Ik zag de,Я увидел,Tôi đã thấy con,我看見了,quiet street,rue tranquille,ruhige Straße,strada tranquilla,rustige straat,тихая улица,đường yên tĩnh,寧靜的街道,old street,vieille rue,alte Straße,vecchia strada
hot,chaud,heiße,caldo,hete,жаркое,chói chang,烈,sun,soleil,Sonne,sole,zon,солнце,mặt trời,太阳,I saw the,J'ai vu le,Ich sah die,Ho visto il,Ik zag de,Я увидел,Tôi đã thấy mặt trời chói chang,我看見了,hot sun,soleil chaud,heiße Sonne,sole caldo,hete zon,жаркое солнце,Mặt trời chói chang,烈太阳,,,,
round,ronde,runder,rotondo,ronde,круглый,tròn,圆,table,table,Tisch,tavolo,tafel,стол,bàn,桌,I saw the,J'ai vu la,Ich sah den,Ho visto il,Ik zag de,Я увидел,Tôi đã thấy cái,我看見了,round table,table ronde,runder Tisch,tavolo rotondo,ronde tafel,круглый стол,bàn tròn,圆桌,,,,
fluffy,duveteuse,flauschiger,soffice,pluizige,пушистый,mềm mại,蓬鬆的,tail,queue,Schwanz,coda,staart,хвост,đuôi,尾巴,I saw the,J'ai vu la,Ich sah den,Ho visto la,Ik zag de,Я увидел,Tôi đã thấy cái,我看見了,fluffy tail,queue duveteuse,flauschiger Schwanz,coda soffice,pluizige staart,пушистый хвост,đuôi mềm mại,蓬鬆的尾巴,long tail,longue queue,langer Schwanz,coda lunga
thin,fin,dünner,sottile,dunne,тонкая,mảnh,細,thread,fil,Faden,filo,draad,нить,sợi chỉ,線,I saw the,J'ai vu le,Ich sah den,Ho visto il,Ik zag de,Я увидел,Tôi đã thấy,我看見了,thin thread,fil fin,dünner Faden,filo sottile,dunne draad,тонкая нить,sợi chỉ mảnh,細線,new thread,nouveau fil,neuer Faden,nuovo filo
red,rouge,rote,rossa,rode,красное,đỏ,红,throat,gorge,Kehle,gola,keel,горло,họng,喉咙,I saw the,J'ai vu la,Ich sah die,Ho visto la,Ik zag de,Я увидел,Tôi đã thấy cái,我看見了,red throat,gorge rouge,rote Kehle,gola rossa,rode keel,красное горло,họng đỏ,红喉咙,,,,
beige,beige,beiger,beige,beige,бежевый,màu be,米色,thumb,pouce,Daumen,pollice,duim,большой палец,ngón tay,拇指,I saw the,J'ai vu le,Ich sah den,Ho visto il,Ik zag de,Я увидел,Tôi đã thấy,我看見了,beige thumb,pouce beige,beiger Daumen,pollice beige,beige duim,бежевый большой палец,ngón tay màu be,米色拇指,,,,
valid,valide,gültiges,valido,geldig,действительный,hợp lệ,有效,ticket,ticket,Ticket,biglietto,ticket,билет,vé,车票,I saw the,J'ai vu le,Ich sah das,Ho visto il,Ik zag het,Я увидел,Tôi đã thấy tấm,我看見了,valid ticket,ticket valide,gültiges Ticket,biglietto valido,geldig ticket,действительный билет,vé hợp lệ,有效车票,,,,
short,court,kurze,corte,korte,короткий,ngắn,短,toe,orteil,Zehe,dita,teen,палец,ngón chân,脚趾,I saw the,J'ai vu le,Ich sah die,Ho visto la,Ik zag de,Я увидел,Tôi đã thấy,我看見了,short toe,orteil court,kurze Zehe,dita corte,korte teen,короткий палец,ngón chân ngắn,短脚趾,,,,
wet,mouillée,feuchte,bagnata,natte,мокрый,ướt,湿,tongue,langue,Zunge,lingua,tong,язык,lưỡi,舌头,I saw the,J'ai vu la,Ich sah die,Ho visto la,Ik zag de,Я увидел,Tôi đã thấy cái,我看見了,wet tongue,langue mouillée,feuchte Zunge,lingua bagnata,natte tong,мокрый язык,lưỡi ướt,湿舌头,,,,
white,blanche,weißer,bianco,witte,белый,trắng,白,tooth,dent,Zahn,dente,tand,зуб,răng,牙,I saw the,J'ai vu la,Ich sah den,Ho visto il,Ik zag de,Я увидел,Tôi đã thấy hàm,我看見了,white tooth,dent blanche,weißer Zahn,dente bianco,witte tand,белый зуб,răng trắng,白牙,old tooth,vieille dent,alter Zahn,vecchio dente
industrial,industrielle,industrielle,industriale,industrieel,промышленный,công nghiệp,工业,town,ville,Stadt,città,stadje,город,thị trấn,城镇,I saw the,J'ai vu la,Ich sah die,Ho visto la,Ik zag het,Я увидел,Tôi đã thấy,我看見了,industrial town,ville industrielle,industrielle Stadt,città industriale,industrieel stadje,промышленный город,thị trấn công nghiệp,工业城镇,,,,
fast,rapide,schneller,veloce,snelle,скоростной,cao tốc,高速,train,train,Zug,treno,trein,поезд,tàu,列车,I saw the,J'ai vu le,Ich sah den,Ho visto il,Ik zag de,Я увидел,Tôi đã thấy con,我看見了,fast train,train rapide,schneller Zug,treno veloce,snelle trein,скоростной поезд,tàu cao tốc,高速列车,,,,
metal,métallique,metallenes,di,metalen,металлический,kim loại,金属,tray,plateau,Tablett,vassoio,dienblad,поднос,khay,托盘,I saw the,J'ai vu le,Ich sah das,Ho visto il,Ik zag het,Я увидел,Tôi đã thấy cái,我看見了,metal tray,plateau métallique,metallenes Tablett,vassoio di metallo,metalen dienblad,металлический поднос,khay kim loại,金属托盘,,,,
dry,sec,trockener,secco,droge,сухое,khô,枯,tree,arbre,Baum,albero,boom,дерево,cây,树,I saw the,J'ai vu l',Ich sah den,Ho visto l',Ik zag de,Я увидел,Tôi đã thấy,我看見了,dry tree,arbre sec,trockener Baum,albero secco,droge boom,сухое дерево,cây khô,枯树,,,,
blue,bleu,blaue,blu,blauwe,синие,xanh,蓝色,trousers,pantalon,Hose,pantaloni,broek,брюки,quần,裤子,I saw the,J'ai vu le,Ich sah die,Ho visto i,Ik zag de,Я увидел,Tôi đã thấy cái,我看見了,blue trousers,pantalon bleu,blaue Hose,pantaloni blu,blauwe broek,синие брюки,quần xanh,蓝色裤子,,,,
folded,plié,zusammengeklappter,piegato,opgevouwen,сложенный,gấp,摺疊,umbrella,parapluie,Regenschirm,ombrello,paraplu,зонт,ô,傘,I saw the,J'ai vu le,Ich sah den,Ho visto l',Ik zag de,Я увидел,Tôi đã thấy cái,我看見了,folded umbrella,parapluie plié,zusammengeklappter Regenschirm,ombrello piegato,opgevouwen paraplu,сложенный зонт,ô gấp,摺疊傘,new umbrella,nouveau parapluie,neuer Regenschirm,nuovo ombrello
thick,épais,dicke,spesso,dikke,толстая,dày,厚,wall,mur,Wand,muro,muur,стена,tường,牆,I saw the,J'ai vu le,Ich sah die,Ho visto il,Ik zag de,Я увидел,Tôi đã thấy bức,我看見了,thick wall,mur épais,dicke Wand,muro spesso,dikke muur,толстая стена,tường dày,厚牆,old wall,vieux mur,alte Wand,vecchio muro
expensive,coûteuse,teure,costoso,duur,дорогой,đắt tiền,昂贵的,watch,montre,Uhr,orologio,horloge,часы,đồng hồ,手表,I saw the,J'ai vu la,Ich sah die,Ho visto l',Ik zag het,Я увидел,Tôi đã thấy cái,我看見了,expensive watch,montre coûteuse,teure Uhr,orologio costoso,duur horloge,дорогой часы,đồng hồ đắt tiền,昂贵的手表,,,,
round,ronde,rundes,rotonda,rond,круглое,tròn,圓形,wheel,roue,Rad,ruota,wiel,колесо,bánh xe,輪子,I saw the,J'ai vu la,Ich sah das,Ho visto la,Ik zag het,Я увидел,Tôi đã thấy,我看見了,round wheel,roue ronde,rundes Rad,ruota rotonda,rond wiel,круглое колесо,bánh xe tròn,圓形輪子,new wheel,nouvelle roue,neues Rad,nuova ruota
taut,tendu,straffe,tesa,strakke,натянутый,căng,紧绷的,whip,fouet,Peitsche,frusta,zweep,хлыст,dây roi,鞭子,I saw the,J'ai vu le,Ich sah die,Ho visto la,Ik zag de,Я увидел,Tôi đã thấy sợi,我看見了,taut whip,fouet tendu,straffe Peitsche,frusta tesa,strakke zweep,натянутый хлыст,dây roi căng,紧绷的鞭子,,,,
shrill,strident,schrille,acuto,schelle,пронзительный,chói tai,尖锐的,whistle,sifflet,Pfeife,fischio,fluit,свисток,tiếng còi,哨声,I saw the,J'ai vu le,Ich sah die,Ho visto il,Ik zag het,Я увидел,Tôi đã thấy,我看見了,shrill whistle,sifflet strident,schrille Pfeife,fischio acuto,schelle fluit,пронзительный свисток,tiếng còi chói tai,尖锐的哨声,,,,
open,ouverte,offenes,aperta,open,открытое,mở,敞开的,window,fenêtre,Fenster,finestra,raam,окно,cửa sổ,窗户,I saw the,J'ai vu la,Ich sah das,Ho visto la,Ik zag het,Я увидел,Tôi đã thấy,我看見了,open window,fenêtre ouverte,offenes Fenster,finestra aperta,open raam,открытое окно,cửa sổ mở,敞开的窗户,,,,
broken,cassée,gebrochener,spezzata,gebroken,сломанное,gãy,折断的,wing,aile,Flügel,ala,vleugel,крыло,cánh,翅膀,I saw the,J'ai vu l',Ich sah den,Ho visto l',Ik zag de,Я увидел,Tôi đã thấy cái,我看見了,broken wing,aile cassée,gebrochener Flügel,ala spezzata,gebroken vleugel,сломанное крыло,cánh gãy,折断的翅膀,,,,
thin,fin,dünner,sottile,dunne,тонкая,mỏng,细细的,wire,fil,Draht,filo,draad,проволока,dây,铁丝,I saw the,J'ai vu le,Ich sah den,Ho visto il,Ik zag de,Я увидел,Tôi đã thấy sợi,我看見了,thin wire,fil fin,dünner Draht,filo sottile,dunne draad,тонкая проволока,dây mỏng,细细的铁丝,,,,
slimy,visqueux,schleimiger,viscido,slijmerige,слизистый,nhớt,黏糊糊的,worm,ver,Wurm,verme,worm,червь,sâu,虫子,I saw the,J'ai vu le,Ich sah den,Ho visto il,Ik zag de,Я увидел,Tôi đã thấy con,我看見了,slimy worm,ver visqueux,schleimiger Wurm,verme viscido,slijmerige worm,слизистый червь,sâu nhớt,黏糊糊的虫子,,,,
